Locale,Language,BriefDescription,LongDescription
mr-IN,Marathi,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
mn-MN,Mongolian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ne-NP,Nepali,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
no-NO,Norwegian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fa,Persian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fa-AE,Persian (UAE),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fa-AF,Persian (Afghanistan),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
fa-IR,Persian (Iran),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
pl-PL,Polish,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
pt-BR,Portuguese (Brazil),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
pt-PT,Portuguese (Portugal),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
pa,Punjabi,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ro,Romanian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
rm,Romansh,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ru-RU,Russian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
sr,Serbian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
si-LK,Sinhala,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
sk,Slovak,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
sl,Slovenian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
es-419,Spanish (Latin America),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
es-ES,Spanish (Spain),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
es-US,Spanish (United States),"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
sw,Swahili,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
sv-SE,Swedish,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ta-IN,Tamil,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
te-IN,Telugu,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
th,Thai,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
tr-TR,Turkish,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
uk,Ukrainian,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
ur,Urdu,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
vi,Vietnamese,"WiseRavenShare is a cross-platform collaboration hub for creators and teams.","WiseRavenShare helps creators and teams plan, create, and share content across major social platforms from one workspace. Use shared rooms, organize media, coordinate publishing, and keep project context in one place."
